Name,lat,lng,population
Montevideo,-34.8667,-56.1667,1319108
Salto,-31.3883,-57.9606,124878
Ciudad de la Costa,-34.8167,-55.95,112449
Maldonado,-34.9088,-54.9581,86782
Paysandu,-32.32,-58.0756,76429
Las Piedras,-34.7167,-56.2167,71268
Rivera,-30.9025,-55.5506,64465
Tacuarembo,-31.7144,-55.9828,54755
Melo,-32.3667,-54.1833,51830
Mercedes,-33.25,-58.0319,41974
Artigas,-30.4028,-56.4704,40658
Minas,-34.3667,-55.2333,38446
San Jose,-34.3333,-56.7167,36747
Durazno,-33.3833,-56.5167,34368
Florida,-34.1,-56.2167,33639
Colonia del Sacramento,-34.4714,-57.8442,26231
Pando,-34.7167,-55.9583,25949
Treinta y Tres,-33.2308,-54.3822,25477
Rocha,-34.4833,-54.35,25422
Fray Bentos,-33.1333,-58.3,24406
Trinidad,-33.5333,-56.8833,21429
Canelones,-34.5228,-56.2778,19865
Bella Union,-30.26,-57.5992,19100
Carmelo,-33.9999,-58.2847,18041
Santa Lucia,-34.4525,-56.3964,16742
Progreso,-34.665,-56.2194,16244
Dolores,-33.5333,-58.2167,15753
Rio Branco,-32.5969,-53.385,14604
Paso de los Toros,-32.8181,-56.5064,12985
Libertad,-34.6333,-56.6192,11458
Nueva Helvecia,-34.2889,-57.2333,10630
Nueva Palmira,-33.87,-58.408,9857